Rating,ScaleName,Construct label,DimLabels,NumItems,Title,Authors,Year
100,ConnectionCoordination Rapport Scale (CCR),rapport,"Connection, coordination",18,Connectioncoordination rapport (CCR) Scale: A dualfactor scale to measure humanrobot rapport,Lin et al.,2025
100,General Attitudes Towards Robots Scale (GaTORS),attitudes towards robots,"personal level positive attitude, personal level negative attitude, societal level positive attitude, societal level negative attitude",20,General Attitudes Towards Robots Scale (GAToRS): A New Instrument for Social Surveys,Koverola et al.,2022
100,Individual Differences in Anthropomorphizing Questionnaire Child Form (IDAQ CF),tendency to anthropomorphize in children,"nature, technology, animals",12,Kids See Human Too Adapting an Individual Differences Measure of Anthropomorphism for a Child Sample,Serverson and Lemm,2016
100,Perceived Danger (PD),perceived danger,"affective states, physical vulnerability, ominousness, cognitive readiness",12,The perceived danger (PD) scale: development and validation,Molan et al.,2025
100,Perception of Agency (PA),perceived agency,unidimensional,14,The Perception of Agency,Trafton et al.,2024
92,Human robot interaction evaluation scale (HRIES),anthropomorphism,"sociability, disturbance, agency, animacy",16,Perception and evaluation in humanrobot interaction: The HumanRobot Interaction Evaluation Scale (HRIES)A multicomponent approach of anthropomorphism,Spatola et al.,2021
92,Perceived Moral Patiency Scale (PMP),perceived moral patiency in robots,"care, fairness, authority, loyalty, purity, and liberty",18,Perceived moral patiency of social robots: Explication and scale development,Banks et al.,2023
92,Scale of Social Robot Anthropomorphism (SSRA),anthropomorphism,"humanlike appearance, self understanding, social intelligence, emotion capability",20,Seeing Personhood in Machines: Conceptualizing Anthropomorphism of Social Robots,Chi et al.,2024
85,Dimensions of Mind Perception (MMP35),dimensions of mind,Positive affect; negative affect; moral cognition; social cognition; reality interaction,20,How many dimensions of mind perception really are there?,"Malle, B.",2019
85,Machines As Social Entities (MASE),beliefs in machines as social actors,"Social capacity, emotional experience, social legitimacy",14,Machines as social entities (MASE) scale: Validation of a new scale measuring beliefs in the sociality of intelligent machine agents,Hong,2024
85,NA,anthropomorphism,unclear,unclear,Perceived HumanLikeness of Social Robots: Testing the Rasch Model as a Method for Measuring Anthropomorphism,Ruijten et al.,2019
